PLACE,state,utility_name,number,pwsid,total_monitoring_and_reporting_other_violations,total_health_based_violations,more_than_5_violations,IF_MORE_THAN_5_year_of_most_recent_violation,IF_MORE_THAN_5_number_of_violations_2016.2020,VIO_Missing,ERROR_CrossChecked_NoViolationData,IF_LESS_THAN_5_number_vio_2016.2020,IF_LESS_THAN_5_year_of_most_recent_violation,Comments,services_provided,county,institutional_arrangement,rate_change_water,rate_change_sewer,year_or_date_of_last_rates_change,median_household_income_in_2017_u_s_census_bureau,approx_number_of_water_connections_epa_sdwis,service_population_approx,source_water,notes_and_assumptions_about_rates_and_calculated_bills,billing_period_water,base_charge_pricing_water,monthly_gallons_provided_with_base_charge_allowance_water,water_rate_structure,number_of_blocks_water,first_block_maximum_monthly_gallons_water,outside_inside_bill_differential_at_5_000_gallons_water,water_zero_gallons_0_cf,water_zero_gallons_outside_0_cf,water_3_000gallons_401_cf,water_3_000gallons_outside_401_cf,water_4_000gallons_535_cf,water_4_000gallons_outside_535_cf,water_5_000gallons_668_cf,water_5_000gallons_outside_668_cf,water_7_000gallons_936_cf,water_7_000gallons_outside_936_cf,water_10_000gallons_1_337_cf,water_10_000gallons_outside_1_337_cf,water_15_000gallons_2_005_cf,water_15_000gallons_outside_2_005_cf,billing_period_sewer,base_charge_pricing_sewer,monthly_gallons_provided_with_base_charge_allowance_sewer,sewer_rate_structure,number_of_blocks_sewer,first_block_maximum_monthly_gallons_sewer,outside_inside_bill_differential_at_5_000_gallons_sewer,sewer_zero_gallons_0_cf,sewer_zero_gallons_outside_0_cf,sewer_3_000gallons_401_cf,sewer_3_000gallons_outside_401_cf,sewer_4_000gallons_535_cf,sewer_4_000gallons_outside_535_cf,sewer_5_000gallons_668_cf,sewer_5_000gallons_outside_668_cf,sewer_7_000gallons_936_cf,sewer_7_000gallons_outside_936_cf,sewer_10_000gallons_1_337_cf,sewer_10_000gallons_outside_1_337_cf,sewer_15_000gallons_2_005_cf,sewer_15_000gallons_outside_2_005_cf,operating_ratio_fy2018_water,operating_ratio_fy2018_sewer,date_of_last_rates_change,median_household_income_in_2016_census_bureau,implied_rate_structure_for_residential_usage_15_000_gallons_month_water,outside_inside_bill_differential_at_6_000_gallons_water,oper_revenue_oper_expense_inc_depreciation_water,water_6_000gallons_802_cf,water_6_000gallons_outside_802_cf,wastewater_rate_structure,implied_rate_structure_for_residential_usage_15_000_gallons_month_sewer,outside_inside_bill_differential_at_6_000_gallons_sewer,oper_revenue_oper_expense_inc_depreciation_sewer,sewer_6_000gallons_802_cf,sewer_6_000gallons_outside_802_cf,x2016_median_household_income_census,x2016_median_house_value_wi_department_of_revenue,estimated_service_population_epa,number_of_accounts_psc,primary_county,water_planning_region_name,implied_uniform_rate_rate_structure_for_residential_usage_15_000_gals_month,oper_revenue_oper_expense_fy2016,monthly_public_fire_protection_charge,water_1_000gallons_137_cf,water_2_000gallons_267_cf,water_8_000gallons_1_069_cf,water_9_000gallons_1_203_cf,old_institutional_arrangement,old_source_water,old_billing_period_water,monthly_bill,old_water_rate_structure,old_billing_period_sewer,old_sewer_rate_structure,STATE.x,noviolations,NEWMostRecentViolationYear,NEWViolations2016.2020,newviolations_2016_2020,finmostrecentviolationyear,No.CDP,CountyCensusData,BinaryCoLoc,CensusPop_fin,PropNonWhite_All_Census_fin,NonWhite_All_Census_fin,PropNonWhite_no2plus_Census_fin,NonWhite_no2plus_Census_fin,PropHispLat_Census_fin,MedHHI_Census_fin,Under100PovLevel_fin,PropUnder100PovLevel_fin,Under150PovLevel_fin,PropUnder150PovLevel_fin,Under200PovLevel_fin,PropUnder200PovLevel_fin,GiniIndex_Census_fin,CensusWhiteProp_fin,CensusBlackProp_fin,CensusAmIndAKProp_fin,CensusAsianProp_fin,CensusNHPIProp_fin,CensusOtherProp_fin,Census2plusProp_fin,Census2plusOtherProp_fin
Ajo CDP,AZ,Ajo Domestic Water Improvement District,9,AZ0410153,36,0,Y,2020,15,,,15,2020,,W,Pima,Other_Govt,NA,NA,3/1/2018,33178,NA,NA,Other,NA,Monthly,Constant,0,Increasing Block,3,9999,NA,30,NA,51,NA,58,NA,65,NA,79,NA,100,NA,142.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DWID,Purchase,M,1,Increasing Block,NA,NA,Arizona,0,2020,15,15,2020,FALSE,0,0,2841,0.233016543,662,0.189721929,539,0.433650123,36743,540,0.19101521,1173,0.414927485,1539,0.54439335,0.4164,0.766983457,0,0.109468497,0.003167899,0,0.077085533,0.043294615,0.009151707
Ajo CDP,AZ,Why Domestic Water Improvement District,436,AZ0410118,154,13,Y,2019,43,,,NA,NA,,W,Pima,Other_Govt,NA,NA,7/1/2018,56250,100,400,GW,NA,Monthly,Constant,3000,Increasing Block,4,7000,NA,42,NA,42,NA,44.9,NA,47.8,NA,53.6,NA,63.05,NA,79.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DWID,Groundwater,M,1,Increasing Block with Cap,NA,NA,Arizona,0,2019,43,43,2019,FALSE,0,0,2841,0.233016543,662,0.189721929,539,0.433650123,36743,540,0.19101521,1173,0.414927485,1539,0.54439335,0.4164,0.766983457,0,0.109468497,0.003167899,0,0.077085533,0.043294615,0.009151707
Ajo CDP,AZ,Ajo Improvement Company,10,AZ0410001,5,0,Y,2020,4,,,4,2020,,B,Pima,For_Profit,No,No,6/29/2004,33178,1200,1600,GW,Utility offers unique rates for untreated water; not modeled here.,Monthly,Constant,0,Increasing Block,3,3000,NA,9.45,NA,16.95,NA,19.85,NA,22.75,NA,28.55,NA,37.25,NA,53.75,NA,Monthly,Constant,0,Non-Volumetric Flat Fee,NA,NA,NA,16.1,NA,16.1,NA,16.1,NA,16.1,NA,16.1,NA,16.1,NA,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,M,Non-Volumetric Flat Fee,Arizona,0,2020,4,4,2020,FALSE,0,0,2841,0.233016543,662,0.189721929,539,0.433650123,36743,540,0.19101521,1173,0.414927485,1539,0.54439335,0.4164,0.766983457,0,0.109468497,0.003167899,0,0.077085533,0.043294615,0.009151707
Ajo CDP,AZ,Arizona Water Company - Ajo,22,AZ0410003,2,0,N,NA,NA,,,1,2019,,W,Pima,For_Profit,Yes,NA,4/1/2018,33178,700,2100,Other,NA,Monthly,By Meter Size,0,Increasing Block,4,2000,NA,27.22,NA,40.32,NA,45.79,NA,51.26,NA,65.53,NA,86.93,NA,139.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Purchase,M,1,Increasing Block,NA,NA,Arizona,0,2019,1,1,2019,FALSE,0,0,2841,0.233016543,662,0.189721929,539,0.433650123,36743,540,0.19101521,1173,0.414927485,1539,0.54439335,0.4164,0.766983457,0,0.109468497,0.003167899,0,0.077085533,0.043294615,0.009151707
Alamo town,GA,Alamo,6,GA3090000,0,0,N,NA,NA,,,NA,NA,,B,Wheeler County,Municipality,No,No,1/1/2007,28977,358,3653,GW,NA,Monthly,Constant,2000,Uniform Rate,NA,NA,NA,1,NA,11.25,NA,12.5,NA,13.75,NA,16.25,NA,2,NA,26.25,NA,Monthly,Constant,2000,Uniform Rate,NA,NA,NA,11,NA,12.25,NA,13.5,NA,14.75,NA,17.25,NA,21,NA,27.25,NA,0.86,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,Monthly,Uniform Rate,Georgia,1,NA,0,0,NA,FALSE,0,0,3346,0.595038852,1991,0.595038852,1991,0.003287507,46563,1043,0.330063291,1257,0.39778481,1610,0.509493671,0.464,0.404961148,0.595038852,0,0,0,0,0,0
Alapaha town,GA,Alapaha,7,GA0190000,2,0,N,NA,NA,,,0,2012,,B,Berrien County,Municipality,No,No,7/1/2011,38646,325,702,GW,"Residential = 1 REU, Commercial Assumed to be = 4 REU's.  Base charges include an Administration Charge split evenly between water and sewer.",Monthly,Constant,0,Increasing Block,6,2000,NA,7,NA,11.6,NA,13.2,NA,14.8,NA,18.2,NA,23.3,NA,32.3,NA,Monthly,Constant,0,Increasing Block,6,2000,NA,1.5,NA,17.41,NA,19.97,NA,22.53,NA,27.97,NA,36.13,NA,5.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Increasing Block,Monthly,Increasing Block,Georgia,0,2012,0,0,2012,FALSE,0,0,765,0.526797386,403,0.526797386,403,0.007843137,35298,146,0.200274348,248,0.340192044,321,0.440329218,0.4219,0.473202614,0.518954248,0,0,0,0.007843137,0,0
Albany city,GA,Albany,8,GA0950000,3,0,N,NA,NA,,,0,2012,,B,Dougherty County,Municipality,No,No,7/1/2018,31843,33473,87029,GW,"Residential sewer usage determined by January, February, and March water usage for existing customers or 6,000 gallons usage for new customers. Commercial sewer may include additional volumetric rates for BOD, TSS, and oil/grease (not modeled here).",Monthly,Constant,3000,Decreasing Block,2,7000,NA,11.85,NA,11.85,NA,14.41,NA,16.97,NA,22.9,NA,27.67,NA,36.97,NA,Monthly,Constant,0,Uniform Rate,NA,NA,0.852303007,1.12,6.24,19.81,15.93,23.4,19.16,26.27,22.39,32.73,28.85,42.42,38.54,58.57,54.69,1.18,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GU,Monthly,1,Decreasing Block,Monthly,Uniform Rate,NA,0,2012,0,0,2012,FALSE,0,0,73478,0.778750102,57221,0.762990283,56063,0.021938539,36615,21506,0.308449149,30004,0.430331454,38196,0.547824965,0.4788,0.221249898,0.743487847,0.002789951,0.009159204,0.000489943,0.007063339,0.015759819,0.001252075
Albany village,WI,Albany,4,WI1230071,2,0,N,NA,NA,,,0,2014,,W,NA,Municipality,Yes,NA,12/20/2017,NA,NA,1018,GW,NA,Quarterly,Constant,0,Decreasing Block,3,4239,NA,21.38,NA,34.62,NA,39.03,NA,42.86,NA,50.16,NA,61.11,NA,79.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.51,NA,NA,NA,NA,NA,NA,NA,42692,118500,1018,449,Green,South Western,Decreasing Block,1.04,9.54,25.8,30.21,53.81,57.46,Municipality,G,Quarterly,0,Decreasing Block,NA,NA,NA,0,2014,0,0,2014,FALSE,0,0,1153,0.069384215,80,0.061578491,71,0,48456,109,0.096716948,240,0.212954747,496,0.440106477,0.381,0.930615785,0.040763226,0.011274935,0.00954033,0,0,0.007805724,0
Algoma city,WI,Algoma Sanitary District No. 1,6,WI4711611,1,0,N,NA,NA,,,0,2012,,W,NA,Other_Govt,NA,NA,7/1/2015,NA,NA,2000,GW,NA,Quarterly,Constant,0,Uniform Rate,0,0,NA,19.7,NA,35.15,NA,40.3,NA,45.45,NA,55.75,NA,71.2,NA,96.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6,NA,NA,NA,NA,NA,NA,NA,38750,97400,2000,1098,Kewaunee,Bay Lake,Uniform Rate,1.44,2.28,24.85,30,60.9,66.05,Sanitary District,G,Quarterly,0,Uniform Rate,NA,NA,Wisconsin,0,2012,0,0,2012,FALSE,0,0,3059,0.039882314,122,0.02484472,76,0.005230467,51250,247,0.082443258,372,0.124165554,819,0.273364486,0.3638,0.960117686,0.013403073,0,0.008826414,0,0.002615234,0.015037594,0
Allenton CDP,WI,Allenton Sanitary District No. 1,8,WI2670104,4,0,N,NA,NA,,,0,2011,,W,NA,Other_Govt,Yes,NA,12/15/2016,NA,NA,860,GW,NA,Quarterly,Constant,0,Decreasing Block,3,16667,NA,14.15,NA,25.82,NA,29.71,NA,33.6,NA,41.38,NA,53.05,NA,72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.49,NA,NA,NA,NA,NA,NA,NA,72704,161300,860,309,Washington,Southeastern,Implied Uniform Rate,1.31,2.4,18.04,21.93,45.27,49.16,Sanitary District,G,Quarterly,0,Decreasing Block,NA,NA,Wisconsin,0,2011,0,0,2011,FALSE,0,0,889,0.03712036,33,0.006749156,6,0.086614173,72554,70,0.078740157,120,0.134983127,120,0.134983127,0.2585,0.96287964,0,0,0.006749156,0,0,0.030371204,0
Allentown city,GA,Allentown,10,GA3190000,0,0,N,NA,NA,,,NA,NA,,W,Wilkinson County,Municipality,No,NA,1/1/2009,29688,120,160,GW,NA,Monthly,Constant,2000,Uniform Rate,NA,NA,NA,17.5,NA,19.5,NA,21.5,NA,23.5,NA,27.5,NA,33.5,NA,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,NA,NA,Georgia,1,NA,0,0,NA,FALSE,0,0,123,0.25203252,31,0.25203252,31,0,36964,9,0.076923077,17,0.145299145,42,0.358974359,0.2565,0.74796748,0.25203252,0,0,0,0,0,0
